date,region,flat_price
2012-01-01,London,272042.0
2012-02-01,Outer London,200138.0
2012-02-01,Inner London,348128.0
2012-02-01,London,267470.0
2012-02-01,South East,137195.0
2012-03-01,Inner London,348071.0
2012-03-01,Outer London,199101.0
2012-03-01,London,268796.0
2012-03-01,South East,139227.0
2012-04-01,Outer London,200363.0
2012-04-01,Inner London,350835.0
2012-04-01,South East,141624.0
2012-04-01,London,277898.0
2012-05-01,Outer London,202783.0
2012-05-01,Inner London,358246.0
2012-05-01,London,281503.0
2012-05-01,South East,141508.0
2012-06-01,Inner London,366083.0
2012-06-01,Outer London,205781.0
2012-06-01,South East,141708.0
2012-06-01,London,284375.0
2012-07-01,Outer London,207655.0
2012-07-01,Inner London,369175.0
2012-07-01,South East,142751.0
2012-07-01,London,285266.0
2012-08-01,Outer London,207925.0
2012-08-01,Inner London,372021.0
2012-08-01,South East,142230.0
2012-08-01,London,285710.0
2012-09-01,Outer London,207865.0
2012-09-01,Inner London,372666.0
2012-09-01,London,285109.0
2012-09-01,South East,143317.0
2012-10-01,Inner London,374134.0
2012-10-01,Outer London,208040.0
2012-10-01,South East,141631.0
2012-10-01,London,287495.0
2012-11-01,Inner London,373909.0
2012-11-01,Outer London,207914.0
2012-11-01,South East,140527.0
2012-11-01,London,285192.0
2012-12-01,Outer London,208279.0
2012-12-01,Inner London,377926.0
2012-12-01,London,290970.0
2012-12-01,South East,140923.0
2013-01-01,Inner London,378568.0
2013-01-01,Outer London,207813.0
2013-01-01,South East,139927.0
2013-01-01,London,287498.0
2013-02-01,Inner London,383492.0
2013-02-01,Outer London,207565.0
2013-02-01,South East,139511.0
2013-02-01,London,291063.0
2013-03-01,Outer London,208109.0
2013-03-01,Inner London,381310.0
2013-03-01,South East,140917.0
2013-03-01,London,289136.0
2013-04-01,Outer London,209646.0
2013-04-01,Inner London,388350.0
2013-04-01,London,299292.0
2013-04-01,South East,141844.0
2013-05-01,Inner London,391003.0
2013-05-01,Outer London,212249.0
2013-05-01,South East,143176.0
2013-05-01,London,299224.0
